"DataCompleta";"Data";"Hora";"Total";"Intersul";"Internorte";"Transcarioca";"SantaCruz";"BRT"
"2021-07-01 00:00:00";"2021-07-01";"00:00";"133";"8";"1";"2";"31";"92"
"2021-07-01 00:05:00";"2021-07-01";"00:05";"148";"8";"5";"8";"38";"90"
"2021-07-01 00:10:00";"2021-07-01";"00:10";"156";"9";"10";"12";"35";"91"
"2021-07-01 00:15:00";"2021-07-01";"00:15";"164";"11";"13";"17";"34";"90"
"2021-07-01 00:20:00";"2021-07-01";"00:20";"165";"11";"13";"19";"35";"88"
"2021-07-01 00:25:00";"2021-07-01";"00:25";"170";"12";"13";"22";"36";"88"
"2021-07-01 00:30:00";"2021-07-01";"00:30";"163";"14";"12";"22";"30";"86"
"2021-07-01 00:35:00";"2021-07-01";"00:35";"165";"14";"13";"24";"29";"86"
"2021-07-01 00:40:00";"2021-07-01";"00:40";"161";"15";"12";"22";"28";"85"
"2021-07-01 00:45:00";"2021-07-01";"00:45";"150";"13";"9";"21";"24";"84"
"2021-07-01 00:50:00";"2021-07-01";"00:50";"151";"13";"9";"23";"24";"83"
"2021-07-01 00:55:00";"2021-07-01";"00:55";"149";"13";"10";"23";"22";"82"
"2021-07-01 01:00:00";"2021-07-01";"01:00";"150";"13";"11";"25";"21";"81"
"2021-07-01 01:05:00";"2021-07-01";"01:05";"148";"12";"11";"25";"20";"81"
"2021-07-01 01:10:00";"2021-07-01";"01:10";"145";"11";"10";"27";"19";"79"
"2021-07-01 01:15:00";"2021-07-01";"01:15";"142";"12";"9";"26";"17";"79"
"2021-07-01 01:20:00";"2021-07-01";"01:20";"135";"13";"7";"23";"16";"77"
"2021-07-01 01:25:00";"2021-07-01";"01:25";"133";"13";"7";"22";"16";"76"
"2021-07-01 01:30:00";"2021-07-01";"01:30";"131";"12";"7";"21";"16";"76"
"2021-07-01 01:35:00";"2021-07-01";"01:35";"123";"12";"5";"19";"13";"75"
"2021-07-01 01:40:00";"2021-07-01";"01:40";"120";"12";"5";"16";"13";"75"
"2021-07-01 01:45:00";"2021-07-01";"01:45";"120";"12";"5";"16";"13";"75"
"2021-07-01 01:50:00";"2021-07-01";"01:50";"118";"12";"5";"15";"13";"74"
"2021-07-01 01:55:00";"2021-07-01";"01:55";"115";"12";"4";"13";"13";"74"
"2021-07-01 02:00:00";"2021-07-01";"02:00";"116";"12";"5";"13";"12";"75"
"2021-07-01 02:05:00";"2021-07-01";"02:05";"115";"13";"4";"13";"11";"75"
"2021-07-01 02:10:00";"2021-07-01";"02:10";"115";"13";"4";"13";"12";"74"
"2021-07-01 02:15:00";"2021-07-01";"02:15";"114";"13";"4";"13";"10";"75"
"2021-07-01 02:20:00";"2021-07-01";"02:20";"112";"12";"3";"13";"9";"76"
"2021-07-01 02:25:00";"2021-07-01";"02:25";"111";"12";"3";"14";"9";"74"
"2021-07-01 02:30:00";"2021-07-01";"02:30";"27";"3";"2";"13";"9";"0"
"2021-07-01 02:35:00";"2021-07-01";"02:35";"114";"12";"3";"14";"10";"76"
"2021-07-01 02:40:00";"2021-07-01";"02:40";"111";"12";"3";"11";"11";"75"
"2021-07-01 02:45:00";"2021-07-01";"02:45";"112";"12";"3";"12";"12";"74"
"2021-07-01 02:50:00";"2021-07-01";"02:50";"116";"12";"4";"13";"13";"75"
"2021-07-01 02:55:00";"2021-07-01";"02:55";"116";"12";"4";"12";"13";"76"
"2021-07-01 03:00:00";"2021-07-01";"03:00";"139";"14";"6";"19";"23";"78"
"2021-07-01 03:05:00";"2021-07-01";"03:05";"145";"15";"9";"19";"24";"79"
"2021-07-01 03:10:00";"2021-07-01";"03:10";"152";"15";"12";"18";"28";"80"
"2021-07-01 03:15:00";"2021-07-01";"03:15";"168";"16";"16";"23";"33";"81"
"2021-07-01 03:20:00";"2021-07-01";"03:20";"184";"16";"20";"24";"41";"84"
"2021-07-01 03:25:00";"2021-07-01";"03:25";"201";"18";"27";"25";"48";"84"
"2021-07-01 03:30:00";"2021-07-01";"03:30";"219";"18";"34";"30";"52";"86"
"2021-07-01 03:35:00";"2021-07-01";"03:35";"246";"20";"39";"39";"62";"87"
"2021-07-01 03:40:00";"2021-07-01";"03:40";"276";"20";"50";"49";"71";"87"
"2021-07-01 03:45:00";"2021-07-01";"03:45";"321";"21";"64";"63";"83";"91"
"2021-07-01 03:50:00";"2021-07-01";"03:50";"351";"21";"75";"72";"95";"89"
"2021-07-01 03:55:00";"2021-07-01";"03:55";"397";"23";"88";"84";"110";"93"
"2021-07-01 04:00:00";"2021-07-01";"04:00";"485";"48";"118";"96";"129";"95"
"2021-07-01 04:05:00";"2021-07-01";"04:05";"559";"59";"145";"104";"152";"100"
"2021-07-01 04:10:00";"2021-07-01";"04:10";"620";"66";"167";"118";"169";"101"
"2021-07-01 04:15:00";"2021-07-01";"04:15";"693";"79";"183";"137";"190";"105"
"2021-07-01 04:20:00";"2021-07-01";"04:20";"781";"91";"212";"151";"217";"111"
"2021-07-01 04:25:00";"2021-07-01";"04:25";"860";"107";"232";"176";"229";"117"
"2021-07-01 04:30:00";"2021-07-01";"04:30";"941";"128";"260";"185";"251";"118"
"2021-07-01 04:35:00";"2021-07-01";"04:35";"1033";"150";"291";"206";"267";"120"
"2021-07-01 04:40:00";"2021-07-01";"04:40";"1123";"163";"321";"230";"287";"123"
"2021-07-01 04:45:00";"2021-07-01";"04:45";"1236";"182";"363";"252";"311";"129"
"2021-07-01 04:50:00";"2021-07-01";"04:50";"1344";"212";"404";"272";"329";"128"
"2021-07-01 04:55:00";"2021-07-01";"04:55";"1453";"238";"437";"290";"359";"130"
"2021-07-01 05:00:00";"2021-07-01";"05:00";"1571";"258";"478";"319";"385";"132"
"2021-07-01 05:05:00";"2021-07-01";"05:05";"1689";"285";"517";"347";"406";"135"
"2021-07-01 05:10:00";"2021-07-01";"05:10";"1780";"308";"550";"369";"416";"138"
"2021-07-01 05:15:00";"2021-07-01";"05:15";"1893";"333";"589";"394";"437";"141"
"2021-07-01 05:20:00";"2021-07-01";"05:20";"1992";"349";"618";"426";"456";"144"
"2021-07-01 05:25:00";"2021-07-01";"05:25";"2077";"374";"640";"446";"473";"145"
"2021-07-01 05:30:00";"2021-07-01";"05:30";"2154";"383";"673";"470";"488";"141"
"2021-07-01 05:35:00";"2021-07-01";"05:35";"2259";"399";"704";"502";"507";"148"
"2021-07-01 05:40:00";"2021-07-01";"05:40";"2339";"407";"733";"528";"522";"150"
"2021-07-01 05:45:00";"2021-07-01";"05:45";"2427";"421";"763";"559";"534";"151"
"2021-07-01 05:50:00";"2021-07-01";"05:50";"2502";"435";"786";"579";"553";"150"
"2021-07-01 05:55:00";"2021-07-01";"05:55";"2583";"450";"811";"603";"568";"152"
"2021-07-01 06:00:00";"2021-07-01";"06:00";"2648";"457";"846";"619";"575";"152"
"2021-07-01 06:05:00";"2021-07-01";"06:05";"2731";"467";"875";"652";"584";"154"
"2021-07-01 06:10:00";"2021-07-01";"06:10";"2798";"478";"899";"677";"592";"153"
"2021-07-01 06:15:00";"2021-07-01";"06:15";"2846";"487";"918";"692";"594";"156"
"2021-07-01 06:20:00";"2021-07-01";"06:20";"2893";"494";"933";"709";"600";"158"
"2021-07-01 06:25:00";"2021-07-01";"06:25";"2948";"499";"958";"726";"605";"161"
"2021-07-01 06:30:00";"2021-07-01";"06:30";"2985";"508";"971";"739";"608";"160"
"2021-07-01 06:35:00";"2021-07-01";"06:35";"3037";"517";"990";"761";"612";"158"
"2021-07-01 06:40:00";"2021-07-01";"06:40";"3079";"525";"1002";"773";"617";"163"
"2021-07-01 06:45:00";"2021-07-01";"06:45";"3098";"528";"1011";"780";"618";"162"
"2021-07-01 06:50:00";"2021-07-01";"06:50";"3123";"529";"1016";"793";"625";"161"
"2021-07-01 06:55:00";"2021-07-01";"06:55";"3155";"531";"1027";"804";"629";"165"
"2021-07-01 07:00:00";"2021-07-01";"07:00";"3167";"533";"1031";"811";"628";"165"
"2021-07-01 07:05:00";"2021-07-01";"07:05";"3181";"534";"1037";"815";"629";"167"
"2021-07-01 07:10:00";"2021-07-01";"07:10";"3185";"534";"1039";"818";"628";"167"
"2021-07-01 07:15:00";"2021-07-01";"07:15";"3195";"535";"1045";"818";"631";"167"
"2021-07-01 07:20:00";"2021-07-01";"07:20";"3202";"537";"1044";"821";"633";"168"
"2021-07-01 07:25:00";"2021-07-01";"07:25";"3198";"537";"1042";"825";"632";"163"
"2021-07-01 07:30:00";"2021-07-01";"07:30";"3206";"536";"1048";"827";"631";"165"
"2021-07-01 07:35:00";"2021-07-01";"07:35";"3211";"536";"1049";"827";"633";"167"
"2021-07-01 07:40:00";"2021-07-01";"07:40";"3213";"539";"1047";"827";"636";"165"
"2021-07-01 07:45:00";"2021-07-01";"07:45";"3211";"540";"1050";"825";"634";"163"
"2021-07-01 07:50:00";"2021-07-01";"07:50";"3208";"538";"1053";"824";"631";"163"
